nom,intérêts,niveau,competences,domaine
Personne 935,"[""SQL""]",Débutant,"[""CSS"", ""R"", ""HTML"", ""Analyse de donn\u00e9es""]",Informatique
Personne 936,"[""Big Data""]",Avancé,"[""Git"", ""R\u00e9solution de probl\u00e8mes"", ""Gestion de projet""]",Développement Web
Personne 937,"[""SQL""]",Avancé,"[""Power BI"", ""Communication"", ""Git"", ""Gestion de projet"", ""Python""]",Marketing Digital
Personne 938,"[""IA""]",Intermédiaire,"[""R\u00e9solution de probl\u00e8mes"", ""Analyse de donn\u00e9es""]",Marketing Digital
Personne 939,"[""React"", ""NLP"", ""HTML""]",Intermédiaire,"[""Google Cloud"", ""Tableau""]",Data Science
Personne 940,"[""React"", ""JavaScript""]",Intermédiaire,"[""Excel"", ""R"", ""SQL""]",Gestion de Projet
Personne 941,"[""JavaScript"", ""Python""]",Intermédiaire,"[""Google Cloud"", ""Python"", ""R""]",Gestion de Projet
Personne 942,"[""Web Development"", ""IA""]",Avancé,"[""Power BI"", ""Git"", ""SQL"", ""Excel"", ""Analyse de donn\u00e9es""]",Gestion de Projet
Personne 943,"[""Python""]",Avancé,"[""AWS"", ""Analyse de donn\u00e9es"", ""R\u00e9solution de probl\u00e8mes""]",Informatique
Personne 944,"[""Cloud Computing""]",Avancé,"[""AWS"", ""Communication"", ""Google Cloud"", ""Docker"", ""HTML""]",Data Science
Personne 945,"[""Big Data"", ""JavaScript""]",Avancé,"[""R"", ""SQL"", ""R\u00e9solution de probl\u00e8mes"", ""Communication"", ""Git""]",Data Science
Personne 946,"[""Angular""]",Avancé,"[""Power BI"", ""Azure"", ""JavaScript""]",Gestion de Projet
Personne 947,"[""Machine Learning"", ""CSS""]",Avancé,"[""Docker"", ""Azure"", ""AWS""]",Développement Web
Personne 948,"[""Node.js"", ""Cloud Computing"", ""Computer Vision""]",Débutant,"[""Docker"", ""Git"", ""Google Cloud"", ""SQL""]",Gestion de Projet
Personne 949,"[""Big Data"", ""CSS"", ""Data Analysis""]",Débutant,"[""Google Cloud"", ""R\u00e9solution de probl\u00e8mes"", ""R"", ""Azure"", ""Tableau""]",Développement Web
Personne 950,"[""NLP"", ""HTML"", ""IA""]",Débutant,"[""AWS"", ""R\u00e9solution de probl\u00e8mes"", ""Power BI"", ""SQL"", ""HTML""]",Développement Web
Personne 951,"[""Machine Learning"", ""SQL""]",Débutant,"[""SQL"", ""Analyse de donn\u00e9es"", ""Azure""]",Informatique
Personne 952,"[""Computer Vision"", ""Python""]",Avancé,"[""Azure"", ""Analyse de donn\u00e9es"", ""SQL"", ""HTML"", ""Git""]",Développement Web
Personne 953,"[""Python"", ""Web Development""]",Intermédiaire,"[""R"", ""Communication"", ""Azure""]",Marketing Digital
Personne 954,"[""HTML"", ""Cloud Computing"", ""Computer Vision""]",Intermédiaire,"[""SQL"", ""Power BI"", ""CSS"", ""HTML""]",Data Science
Personne 955,"[""HTML""]",Avancé,"[""HTML"", ""Gestion de projet""]",Marketing Digital
Personne 956,"[""HTML"", ""Web Development"", ""Machine Learning""]",Intermédiaire,"[""Python"", ""AWS""]",Informatique
Personne 957,"[""Machine Learning""]",Intermédiaire,"[""Analyse de donn\u00e9es"", ""Git"", ""R\u00e9solution de probl\u00e8mes""]",Informatique
Personne 958,"[""Web Development"", ""HTML"", ""Data Analysis""]",Débutant,"[""Google Cloud"", ""SQL"", ""R\u00e9solution de probl\u00e8mes""]",Développement Web
Personne 959,"[""Cloud Computing""]",Intermédiaire,"[""Communication"", ""Excel"", ""Analyse de donn\u00e9es""]",Développement Web
Personne 960,"[""HTML"", ""Web Development"", ""Big Data""]",Intermédiaire,"[""Python"", ""Communication"", ""HTML"", ""R\u00e9solution de probl\u00e8mes""]",Marketing Digital
Personne 961,"[""Cloud Computing"", ""Data Analysis"", ""Python""]",Avancé,"[""Git"", ""AWS"", ""Power BI""]",Développement Web
Personne 962,"[""SQL"", ""Data Analysis"", ""Node.js""]",Intermédiaire,"[""Python"", ""HTML"", ""Analyse de donn\u00e9es"", ""R\u00e9solution de probl\u00e8mes"", ""CSS""]",Développement Web
Personne 963,"[""HTML"", ""Machine Learning"", ""SQL""]",Intermédiaire,"[""R"", ""JavaScript""]",Marketing Digital
Personne 964,"[""Computer Vision"", ""Web Development"", ""SQL""]",Intermédiaire,"[""Git"", ""Tableau"", ""Azure""]",Marketing Digital
Personne 965,"[""Angular"", ""Big Data""]",Intermédiaire,"[""HTML"", ""Python"", ""Excel"", ""Communication"", ""Google Cloud""]",Développement Web
Personne 966,"[""Big Data"", ""SQL"", ""Web Development""]",Débutant,"[""Communication"", ""R\u00e9solution de probl\u00e8mes"", ""Azure"", ""HTML""]",Data Science
Personne 967,"[""Node.js"", ""Web Development"", ""Data Analysis""]",Intermédiaire,"[""AWS"", ""Azure"", ""R\u00e9solution de probl\u00e8mes""]",Marketing Digital
Personne 968,"[""React"", ""Machine Learning"", ""IA""]",Intermédiaire,"[""HTML"", ""Azure"", ""Google Cloud"", ""Gestion de projet"", ""Power BI""]",Informatique
Personne 969,"[""React"", ""NLP""]",Intermédiaire,"[""R\u00e9solution de probl\u00e8mes"", ""Communication"", ""R""]",Data Science
Personne 970,"[""Python"", ""Cloud Computing""]",Intermédiaire,"[""HTML"", ""CSS"", ""Azure""]",Data Science
Personne 971,"[""Web Development"", ""HTML"", ""Python""]",Intermédiaire,"[""Gestion de projet"", ""Analyse de donn\u00e9es"", ""R\u00e9solution de probl\u00e8mes"", ""Communication"", ""AWS""]",Informatique
Personne 972,"[""Node.js"", ""NLP"", ""Web Development""]",Débutant,"[""Analyse de donn\u00e9es"", ""Python""]",Marketing Digital
Personne 973,"[""SQL"", ""React"", ""Node.js""]",Débutant,"[""Gestion de projet"", ""Analyse de donn\u00e9es"", ""JavaScript"", ""CSS"", ""Excel""]",Développement Web
Personne 974,"[""CSS"", ""Python"", ""SQL""]",Intermédiaire,"[""R\u00e9solution de probl\u00e8mes"", ""Google Cloud"", ""HTML"", ""Git"", ""R""]",Marketing Digital
Personne 975,"[""IA"", ""HTML"", ""Angular""]",Avancé,"[""Tableau"", ""Git"", ""Gestion de projet""]",Marketing Digital
Personne 976,"[""Angular"", ""Cloud Computing""]",Intermédiaire,"[""R\u00e9solution de probl\u00e8mes"", ""AWS""]",Marketing Digital
Personne 977,"[""CSS"", ""Python""]",Intermédiaire,"[""Analyse de donn\u00e9es"", ""Python"", ""Excel"", ""Google Cloud"", ""Power BI""]",Data Science
Personne 978,"[""React""]",Débutant,"[""Power BI"", ""SQL"", ""Azure""]",Data Science
Personne 979,"[""Big Data"", ""NLP"", ""Python""]",Intermédiaire,"[""Power BI"", ""Azure"", ""Analyse de donn\u00e9es""]",Data Science
Personne 980,"[""Machine Learning"", ""Web Development"", ""CSS""]",Avancé,"[""JavaScript"", ""Tableau""]",Développement Web
Personne 981,"[""NLP"", ""Python"", ""HTML""]",Débutant,"[""Power BI"", ""Azure"", ""Google Cloud""]",Marketing Digital
Personne 982,"[""Machine Learning""]",Avancé,"[""Python"", ""Communication""]",Gestion de Projet
Personne 983,"[""NLP""]",Débutant,"[""JavaScript"", ""CSS"", ""Communication"", ""R"", ""HTML""]",Marketing Digital
Personne 984,"[""Big Data""]",Avancé,"[""Azure"", ""Python"", ""AWS""]",Informatique
Personne 985,"[""NLP"", ""Web Development""]",Débutant,"[""Power BI"", ""CSS""]",Gestion de Projet
Personne 986,"[""Node.js""]",Débutant,"[""Tableau"", ""Git""]",Informatique
Personne 987,"[""JavaScript"", ""Big Data"", ""Python""]",Avancé,"[""Git"", ""Azure""]",Gestion de Projet
Personne 988,"[""React""]",Avancé,"[""Azure"", ""SQL""]",Développement Web
Personne 989,"[""Node.js"", ""IA"", ""Python""]",Intermédiaire,"[""Excel"", ""Tableau"", ""CSS"", ""Communication"", ""SQL""]",Gestion de Projet
Personne 990,"[""SQL""]",Avancé,"[""CSS"", ""Power BI"", ""Gestion de projet""]",Data Science
Personne 991,"[""Big Data""]",Avancé,"[""SQL"", ""HTML"", ""Communication""]",Data Science
Personne 992,"[""Data Analysis""]",Avancé,"[""R"", ""CSS"", ""Tableau"", ""Azure"", ""HTML""]",Développement Web
Personne 993,"[""Python"", ""HTML""]",Débutant,"[""Communication"", ""Tableau"", ""Power BI"", ""R\u00e9solution de probl\u00e8mes""]",Gestion de Projet
Personne 994,"[""NLP""]",Débutant,"[""Tableau"", ""R"", ""Docker"", ""CSS"", ""Azure""]",Développement Web
Personne 995,"[""Computer Vision"", ""CSS""]",Débutant,"[""AWS"", ""CSS"", ""Power BI"", ""SQL""]",Gestion de Projet
Personne 996,"[""Computer Vision"", ""SQL""]",Avancé,"[""Git"", ""AWS""]",Data Science
Personne 997,"[""IA"", ""JavaScript"", ""HTML""]",Débutant,"[""Azure"", ""Communication""]",Développement Web
Personne 998,"[""Node.js"", ""Web Development""]",Débutant,"[""Git"", ""Gestion de projet"", ""CSS"", ""Docker""]",Informatique
Personne 999,"[""SQL""]",Avancé,"[""SQL"", ""Docker"", ""HTML"", ""R""]",Informatique
Personne 1000,"[""Big Data""]",Débutant,"[""Git"", ""Gestion de projet""]",Marketing Digital
Personne 1001,"[""IA""]",Intermédiaire,"[""Power BI"", ""Excel"", ""Communication"", ""CSS"", ""Analyse de donn\u00e9es""]",Data Science
Personne 1002,"[""Data Analysis"", ""IA""]",Intermédiaire,"[""Communication"", ""Excel"", ""Docker"", ""Python"", ""Google Cloud""]",Gestion de Projet
Personne 1003,"[""React"", ""Web Development"", ""Machine Learning""]",Débutant,"[""CSS"", ""Python"", ""Git"", ""Google Cloud""]",Marketing Digital
Personne 1004,"[""Web Development"", ""Angular""]",Avancé,"[""R"", ""Google Cloud"", ""AWS""]",Data Science
Personne 1005,"[""Cloud Computing""]",Débutant,"[""Git"", ""Communication"", ""SQL""]",Développement Web
Personne 1006,"[""Data Analysis"", ""IA"", ""JavaScript""]",Débutant,"[""Tableau"", ""Azure"", ""AWS"", ""SQL"", ""Git""]",Développement Web
Personne 1007,"[""Machine Learning""]",Avancé,"[""JavaScript"", ""Communication"", ""CSS"", ""Google Cloud""]",Data Science
Personne 1008,"[""Cloud Computing"", ""Web Development""]",Débutant,"[""CSS"", ""Google Cloud"", ""Git"", ""SQL""]",Informatique
Personne 1009,"[""CSS"", ""NLP""]",Avancé,"[""Python"", ""Communication"", ""Git"", ""Power BI""]",Gestion de Projet
Personne 1010,"[""SQL""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""Power BI"", ""Docker"", ""SQL""]",Data Science
Personne 1011,"[""SQL"", ""Machine Learning"", ""React""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""Python"", ""R"", ""Git"", ""HTML""]",Data Science
Personne 1012,"[""HTML"", ""Computer Vision"", ""Node.js""]",Intermédiaire,"[""Tableau"", ""Communication"", ""Excel""]",Gestion de Projet
Personne 1013,"[""Data Analysis"", ""IA""]",Débutant,"[""HTML"", ""Power BI"", ""Communication"", ""SQL"", ""JavaScript""]",Informatique
Personne 1014,"[""Data Analysis"", ""Angular""]",Débutant,"[""AWS"", ""Azure""]",Informatique
Personne 1015,"[""React""]",Avancé,"[""CSS"", ""Docker"", ""HTML"", ""R\u00e9solution de probl\u00e8mes""]",Marketing Digital
Personne 1016,"[""Computer Vision""]",Avancé,"[""AWS"", ""Git"", ""JavaScript"", ""R\u00e9solution de probl\u00e8mes"", ""Azure""]",Développement Web
Personne 1017,"[""CSS"", ""Node.js""]",Débutant,"[""Tableau"", ""Excel"", ""Communication"", ""SQL"", ""Power BI""]",Marketing Digital
Personne 1018,"[""HTML""]",Avancé,"[""SQL"", ""HTML"", ""CSS"", ""Azure""]",Informatique
Personne 1019,"[""CSS"", ""Data Analysis""]",Intermédiaire,"[""Analyse de donn\u00e9es"", ""Python"", ""CSS""]",Informatique
Personne 1020,"[""Node.js""]",Avancé,"[""Azure"", ""Gestion de projet"", ""Docker"", ""CSS"", ""JavaScript""]",Informatique
Personne 1021,"[""Computer Vision""]",Avancé,"[""Google Cloud"", ""Docker"", ""Azure"", ""Excel"", ""Power BI""]",Gestion de Projet
Personne 1022,"[""Node.js""]",Débutant,"[""SQL"", ""Git"", ""HTML"", ""AWS"", ""Azure""]",Data Science
Personne 1023,"[""SQL""]",Avancé,"[""R\u00e9solution de probl\u00e8mes"", ""SQL""]",Marketing Digital
Personne 1024,"[""JavaScript""]",Intermédiaire,"[""HTML"", ""AWS"", ""Google Cloud"", ""Analyse de donn\u00e9es""]",Gestion de Projet
Personne 1025,"[""Python""]",Intermédiaire,"[""Git"", ""Azure"", ""SQL"", ""Python""]",Informatique
Personne 1026,"[""Web Development""]",Avancé,"[""Google Cloud"", ""Tableau""]",Informatique
Personne 1027,"[""Data Analysis"", ""Node.js"", ""Cloud Computing""]",Débutant,"[""HTML"", ""CSS"", ""Power BI"", ""Git""]",Marketing Digital
Personne 1028,"[""SQL"", ""Computer Vision""]",Intermédiaire,"[""SQL"", ""R"", ""Azure"", ""Google Cloud"", ""Git""]",Gestion de Projet
Personne 1029,"[""HTML"", ""SQL"", ""Computer Vision""]",Avancé,"[""Git"", ""Communication"", ""Google Cloud"", ""R\u00e9solution de probl\u00e8mes""]",Marketing Digital
Personne 1030,"[""Machine Learning"", ""SQL""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""Azure"", ""Git""]",Marketing Digital
Personne 1031,"[""Angular"", ""NLP"", ""Machine Learning""]",Avancé,"[""HTML"", ""SQL"", ""CSS"", ""Gestion de projet""]",Informatique
Personne 1032,"[""Angular"", ""Machine Learning"", ""Computer Vision""]",Débutant,"[""HTML"", ""Communication"", ""R\u00e9solution de probl\u00e8mes"", ""JavaScript""]",Gestion de Projet
Personne 1033,"[""Node.js"", ""HTML"", ""React""]",Avancé,"[""R"", ""AWS""]",Marketing Digital
Personne 1034,"[""Python""]",Intermédiaire,"[""Azure"", ""JavaScript"", ""Excel"", ""Google Cloud""]",Informatique
Personne 1035,"[""NLP"", ""Angular"", ""IA""]",Intermédiaire,"[""Docker"", ""Excel"", ""Power BI"", ""JavaScript""]",Informatique
Personne 1036,"[""CSS""]",Avancé,"[""Git"", ""Excel""]",Marketing Digital
Personne 1037,"[""Cloud Computing""]",Débutant,"[""CSS"", ""R\u00e9solution de probl\u00e8mes"", ""JavaScript""]",Gestion de Projet
Personne 1038,"[""Angular"", ""CSS""]",Intermédiaire,"[""Analyse de donn\u00e9es"", ""Tableau"", ""CSS"", ""R"", ""Communication""]",Gestion de Projet
Personne 1039,"[""Angular"", ""JavaScript""]",Intermédiaire,"[""Gestion de projet"", ""SQL""]",Développement Web
Personne 1040,"[""HTML"", ""SQL"", ""Big Data""]",Avancé,"[""Azure"", ""Python"", ""Docker""]",Gestion de Projet
Personne 1041,"[""IA""]",Avancé,"[""Power BI"", ""R"", ""Git"", ""Gestion de projet"", ""HTML""]",Gestion de Projet
Personne 1042,"[""HTML"", ""NLP"", ""Node.js""]",Avancé,"[""Azure"", ""Excel"", ""Docker"", ""Power BI"", ""Google Cloud""]",Développement Web
Personne 1043,"[""HTML"", ""SQL""]",Intermédiaire,"[""Excel"", ""HTML"", ""AWS""]",Gestion de Projet
Personne 1044,"[""CSS"", ""NLP""]",Intermédiaire,"[""HTML"", ""Azure"", ""Git"", ""Power BI""]",Informatique
Personne 1045,"[""Angular"", ""Python"", ""Cloud Computing""]",Intermédiaire,"[""HTML"", ""AWS"", ""Azure"", ""Google Cloud"", ""Excel""]",Marketing Digital
Personne 1046,"[""Angular""]",Débutant,"[""Gestion de projet"", ""Communication"", ""JavaScript"", ""HTML"", ""R\u00e9solution de probl\u00e8mes""]",Développement Web
Personne 1047,"[""Computer Vision""]",Débutant,"[""Google Cloud"", ""HTML"", ""Azure"", ""R""]",Marketing Digital
Personne 1048,"[""JavaScript""]",Intermédiaire,"[""R\u00e9solution de probl\u00e8mes"", ""JavaScript"", ""Analyse de donn\u00e9es"", ""CSS""]",Gestion de Projet
Personne 1049,"[""JavaScript""]",Débutant,"[""Analyse de donn\u00e9es"", ""SQL"", ""R""]",Développement Web
Personne 1050,"[""Machine Learning"", ""Computer Vision"", ""Python""]",Débutant,"[""AWS"", ""HTML"", ""Analyse de donn\u00e9es""]",Gestion de Projet
Personne 1051,"[""SQL"", ""Node.js"", ""Python""]",Intermédiaire,"[""HTML"", ""Azure"", ""Python""]",Gestion de Projet
Personne 1052,"[""JavaScript"", ""Python"", ""Computer Vision""]",Avancé,"[""Tableau"", ""HTML"", ""Power BI""]",Marketing Digital
Personne 1053,"[""Web Development"", ""Cloud Computing"", ""Machine Learning""]",Avancé,"[""Google Cloud"", ""Tableau"", ""SQL"", ""Gestion de projet""]",Gestion de Projet
Personne 1054,"[""Cloud Computing"", ""Node.js""]",Avancé,"[""HTML"", ""Analyse de donn\u00e9es""]",Informatique
Personne 1055,"[""Big Data"", ""IA"", ""Node.js""]",Intermédiaire,"[""JavaScript"", ""Google Cloud"", ""Git""]",Développement Web
Personne 1056,"[""JavaScript"", ""Computer Vision""]",Intermédiaire,"[""R"", ""Excel"", ""Communication"", ""Gestion de projet""]",Développement Web
Personne 1057,"[""Python"", ""HTML""]",Intermédiaire,"[""Python"", ""AWS"", ""Excel""]",Développement Web
Personne 1058,"[""Data Analysis"", ""CSS"", ""Cloud Computing""]",Intermédiaire,"[""Gestion de projet"", ""Azure""]",Gestion de Projet
Personne 1059,"[""CSS""]",Débutant,"[""Python"", ""JavaScript"", ""Docker""]",Développement Web
Personne 1060,"[""Web Development"", ""Angular"", ""SQL""]",Intermédiaire,"[""R"", ""AWS"", ""Azure"", ""R\u00e9solution de probl\u00e8mes""]",Gestion de Projet
Personne 1061,"[""JavaScript"", ""Python""]",Intermédiaire,"[""Excel"", ""Azure"", ""R\u00e9solution de probl\u00e8mes"", ""AWS""]",Marketing Digital
Personne 1062,"[""CSS"", ""Angular"", ""Python""]",Avancé,"[""Analyse de donn\u00e9es"", ""SQL"", ""JavaScript"", ""Git""]",Développement Web
Personne 1063,"[""Node.js""]",Intermédiaire,"[""Communication"", ""Gestion de projet"", ""Git"", ""SQL"", ""R""]",Informatique
Personne 1064,"[""Angular"", ""React"", ""Data Analysis""]",Intermédiaire,"[""R"", ""JavaScript"", ""Azure"", ""Gestion de projet"", ""Power BI""]",Développement Web
Personne 1065,"[""Cloud Computing"", ""React"", ""Machine Learning""]",Débutant,"[""Google Cloud"", ""Excel""]",Développement Web
Personne 1066,"[""NLP"", ""CSS"", ""JavaScript""]",Intermédiaire,"[""AWS"", ""Power BI"", ""Google Cloud""]",Développement Web
Personne 1067,"[""IA"", ""CSS"", ""Big Data""]",Avancé,"[""Azure"", ""Analyse de donn\u00e9es"", ""JavaScript"", ""Git""]",Développement Web
Personne 1068,"[""Node.js"", ""IA""]",Avancé,"[""Git"", ""HTML"", ""Tableau"", ""CSS"", ""Power BI""]",Data Science
Personne 1069,"[""SQL"", ""IA"", ""CSS""]",Avancé,"[""Analyse de donn\u00e9es"", ""AWS"", ""Communication"", ""Excel""]",Informatique
Personne 1070,"[""NLP""]",Avancé,"[""Excel"", ""SQL"", ""Python"", ""HTML"", ""R\u00e9solution de probl\u00e8mes""]",Marketing Digital
Personne 1071,"[""React"", ""Big Data""]",Débutant,"[""Google Cloud"", ""CSS""]",Gestion de Projet
Personne 1072,"[""Computer Vision"", ""CSS"", ""Data Analysis""]",Avancé,"[""JavaScript"", ""R\u00e9solution de probl\u00e8mes""]",Développement Web
Personne 1073,"[""Node.js"", ""Web Development"", ""Angular""]",Intermédiaire,"[""HTML"", ""Python"", ""Power BI""]",Data Science
Personne 1074,"[""Computer Vision"", ""IA""]",Débutant,"[""Analyse de donn\u00e9es"", ""R\u00e9solution de probl\u00e8mes"", ""Gestion de projet""]",Développement Web
Personne 1075,"[""HTML""]",Avancé,"[""Gestion de projet"", ""Tableau"", ""R""]",Data Science
Personne 1076,"[""CSS"", ""HTML""]",Débutant,"[""JavaScript"", ""R"", ""R\u00e9solution de probl\u00e8mes""]",Développement Web
Personne 1077,"[""Web Development""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""Excel"", ""Azure"", ""Power BI""]",Gestion de Projet
Personne 1078,"[""Web Development"", ""Machine Learning""]",Débutant,"[""Gestion de projet"", ""HTML"", ""Docker"", ""Excel"", ""Azure""]",Gestion de Projet
Personne 1079,"[""Node.js"", ""JavaScript"", ""IA""]",Avancé,"[""Gestion de projet"", ""Communication"", ""Docker""]",Marketing Digital
Personne 1080,"[""NLP"", ""Angular"", ""JavaScript""]",Avancé,"[""Git"", ""Docker"", ""Gestion de projet""]",Informatique
Personne 1081,"[""Computer Vision""]",Intermédiaire,"[""Git"", ""Gestion de projet"", ""Excel"", ""Python""]",Informatique
Personne 1082,"[""IA"", ""Python"", ""SQL""]",Avancé,"[""CSS"", ""SQL"", ""Tableau"", ""Excel""]",Marketing Digital
Personne 1083,"[""Computer Vision"", ""Data Analysis"", ""Cloud Computing""]",Intermédiaire,"[""HTML"", ""SQL"", ""Communication""]",Développement Web
Personne 1084,"[""CSS""]",Avancé,"[""AWS"", ""Azure""]",Développement Web
Personne 1085,"[""Angular"", ""Computer Vision"", ""Python""]",Avancé,"[""Gestion de projet"", ""Analyse de donn\u00e9es""]",Gestion de Projet
Personne 1086,"[""SQL"", ""CSS"", ""Big Data""]",Avancé,"[""Power BI"", ""AWS"", ""Git"", ""Azure"", ""R\u00e9solution de probl\u00e8mes""]",Informatique
Personne 1087,"[""CSS""]",Débutant,"[""Gestion de projet"", ""Analyse de donn\u00e9es"", ""R""]",Informatique
Personne 1088,"[""React"", ""Cloud Computing""]",Débutant,"[""Docker"", ""Python"", ""SQL""]",Marketing Digital
Personne 1089,"[""Node.js"", ""Python""]",Débutant,"[""JavaScript"", ""SQL"", ""R\u00e9solution de probl\u00e8mes"", ""Communication"", ""Tableau""]",Gestion de Projet
Personne 1090,"[""IA"", ""Node.js"", ""JavaScript""]",Intermédiaire,"[""Excel"", ""Git"", ""Docker"", ""Tableau"", ""Power BI""]",Gestion de Projet
Personne 1091,"[""Python"", ""React"", ""CSS""]",Intermédiaire,"[""SQL"", ""Git"", ""Excel""]",Gestion de Projet
Personne 1092,"[""Cloud Computing""]",Intermédiaire,"[""Power BI"", ""Gestion de projet"", ""AWS""]",Data Science
Personne 1093,"[""Computer Vision""]",Intermédiaire,"[""Google Cloud"", ""CSS"", ""Excel"", ""Docker"", ""Azure""]",Gestion de Projet
Personne 1094,"[""Computer Vision"", ""Machine Learning"", ""JavaScript""]",Débutant,"[""R\u00e9solution de probl\u00e8mes"", ""Excel""]",Data Science
Personne 1095,"[""NLP""]",Débutant,"[""JavaScript"", ""Docker"", ""R"", ""Git""]",Développement Web
Personne 1096,"[""CSS""]",Débutant,"[""JavaScript"", ""Tableau"", ""HTML"", ""R"", ""Gestion de projet""]",Informatique
Personne 1097,"[""Data Analysis"", ""Machine Learning""]",Avancé,"[""Analyse de donn\u00e9es"", ""CSS"", ""Azure""]",Développement Web
Personne 1098,"[""Angular"", ""IA"", ""Web Development""]",Débutant,"[""HTML"", ""R\u00e9solution de probl\u00e8mes"", ""Analyse de donn\u00e9es"", ""Python"", ""Communication""]",Gestion de Projet
Personne 1099,"[""Cloud Computing"", ""Machine Learning""]",Avancé,"[""HTML"", ""Google Cloud"", ""R"", ""JavaScript"", ""Tableau""]",Informatique
Personne 1100,"[""Web Development"", ""HTML""]",Avancé,"[""Python"", ""Tableau"", ""HTML""]",Data Science
Personne 1101,"[""Computer Vision""]",Intermédiaire,"[""Tableau"", ""Azure"", ""Communication""]",Développement Web
Personne 1102,"[""Angular"", ""NLP"", ""Node.js""]",Avancé,"[""R\u00e9solution de probl\u00e8mes"", ""Azure"", ""Excel""]",Développement Web
Personne 1103,"[""JavaScript""]",Débutant,"[""Communication"", ""Gestion de projet"", ""AWS"", ""R\u00e9solution de probl\u00e8mes""]",Data Science
Personne 1104,"[""Node.js"", ""IA""]",Intermédiaire,"[""Docker"", ""Python"", ""HTML"", ""Gestion de projet"", ""SQL""]",Marketing Digital
Personne 1105,"[""Node.js"", ""Angular""]",Avancé,"[""Tableau"", ""AWS"", ""Python""]",Gestion de Projet
Personne 1106,"[""CSS"", ""JavaScript"", ""Computer Vision""]",Avancé,"[""Git"", ""Azure"", ""Gestion de projet"", ""Python""]",Informatique
Personne 1107,"[""Machine Learning"", ""IA""]",Intermédiaire,"[""Power BI"", ""R""]",Gestion de Projet
Personne 1108,"[""Cloud Computing""]",Avancé,"[""Power BI"", ""Python"", ""CSS"", ""AWS""]",Data Science
Personne 1109,"[""Computer Vision"", ""Cloud Computing"", ""React""]",Avancé,"[""R\u00e9solution de probl\u00e8mes"", ""Gestion de projet"", ""Excel"", ""Python""]",Marketing Digital
Personne 1110,"[""Data Analysis"", ""HTML""]",Avancé,"[""Python"", ""SQL""]",Développement Web
Personne 1111,"[""Big Data"", ""Computer Vision"", ""SQL""]",Avancé,"[""Google Cloud"", ""Excel"", ""SQL"", ""HTML"", ""R\u00e9solution de probl\u00e8mes""]",Informatique
Personne 1112,"[""IA"", ""React""]",Débutant,"[""Python"", ""Docker""]",Gestion de Projet
Personne 1113,"[""Machine Learning"", ""HTML""]",Débutant,"[""Gestion de projet"", ""Tableau"", ""R"", ""Communication"", ""Git""]",Data Science
Personne 1114,"[""CSS"", ""Big Data"", ""Machine Learning""]",Avancé,"[""Azure"", ""JavaScript""]",Gestion de Projet
Personne 1115,"[""Python""]",Intermédiaire,"[""CSS"", ""R""]",Développement Web
Personne 1116,"[""Web Development""]",Intermédiaire,"[""R\u00e9solution de probl\u00e8mes"", ""Docker"", ""Azure"", ""Tableau"", ""Gestion de projet""]",Data Science
Personne 1117,"[""Machine Learning""]",Intermédiaire,"[""SQL"", ""Communication""]",Gestion de Projet
Personne 1118,"[""HTML"", ""SQL"", ""Computer Vision""]",Débutant,"[""R"", ""Google Cloud"", ""Excel"", ""Git""]",Informatique
Personne 1119,"[""NLP""]",Débutant,"[""R"", ""Power BI""]",Informatique
Personne 1120,"[""React"", ""HTML"", ""Computer Vision""]",Avancé,"[""HTML"", ""Python""]",Data Science
Personne 1121,"[""Machine Learning"", ""Python"", ""IA""]",Avancé,"[""Communication"", ""Gestion de projet"", ""CSS"", ""R""]",Marketing Digital
Personne 1122,"[""NLP"", ""JavaScript""]",Débutant,"[""Azure"", ""R"", ""Analyse de donn\u00e9es"", ""Git"", ""Tableau""]",Marketing Digital
Personne 1123,"[""HTML"", ""NLP"", ""CSS""]",Intermédiaire,"[""HTML"", ""R\u00e9solution de probl\u00e8mes"", ""Docker"", ""JavaScript""]",Gestion de Projet
Personne 1124,"[""CSS""]",Intermédiaire,"[""R\u00e9solution de probl\u00e8mes"", ""Tableau""]",Développement Web
Personne 1125,"[""IA"", ""Python"", ""React""]",Débutant,"[""SQL"", ""Python""]",Gestion de Projet
Personne 1126,"[""IA""]",Avancé,"[""Tableau"", ""Analyse de donn\u00e9es""]",Marketing Digital
Personne 1127,"[""HTML""]",Avancé,"[""R"", ""HTML"", ""JavaScript"", ""Git""]",Gestion de Projet
Personne 1128,"[""HTML"", ""JavaScript""]",Débutant,"[""AWS"", ""Azure"", ""Power BI"", ""Tableau""]",Gestion de Projet
Personne 1129,"[""Angular"", ""Data Analysis""]",Avancé,"[""Excel"", ""R\u00e9solution de probl\u00e8mes"", ""JavaScript""]",Développement Web
Personne 1130,"[""React""]",Avancé,"[""Python"", ""R\u00e9solution de probl\u00e8mes"", ""Docker"", ""Azure""]",Informatique
Personne 1131,"[""React"", ""Big Data""]",Débutant,"[""Power BI"", ""Excel"", ""AWS""]",Marketing Digital
Personne 1132,"[""Node.js""]",Intermédiaire,"[""R"", ""CSS"", ""JavaScript"", ""AWS""]",Gestion de Projet
